,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3679,53.6402133233219,53.66259333729943,36.3597866766781,36.33740666270057,99.44834245180039,1.8880524766573217,2023-06-03 07:00,2023-06-03 08:00,0.469,0.403,0.083,13.767,0.48600000000000004,0.6797628439836779
3680,44.65166732554143,44.66787510891419,45.34833267445857,45.33212489108581,113.46727295574902,1.8812599987213616,2023-06-03 08:00,2023-06-03 09:00,0.598,0.549,0.086,15.473,0.635,0.7717257893475722
3681,36.70981466578636,36.72199323983892,53.29018533421364,53.27800676016108,131.01535077561198,1.8744571195275057,2023-06-03 09:00,2023-06-03 10:00,0.691,0.662,0.092,16.931,0.754,0.8257728338245165
3682,30.95915505073691,30.968914713372,59.04084494926309,59.031085286628,153.85470249236744,1.867643854871858,2023-06-03 10:00,2023-06-03 11:00,0.756,0.746,0.095,18.073,0.841,0.869936106253376
3683,28.935052512818714,28.94402368350559,61.064947487181286,61.05597631649441,181.5512624706612,1.8608202208852163,2023-06-03 11:00,2023-06-03 12:00,0.784,0.785,0.098,18.79,0.883,0.896969921507564
3684,31.41877344551969,31.428671723420102,58.58122655448031,58.5713282765799,208.9046747397429,1.8539862335310318,2023-06-03 12:00,2023-06-03 13:00,0.788,0.795,0.095,19.244,0.89,0.9315896369246653
3685,37.470895788506176,37.48331005601843,52.529104211493824,52.51668994398157,231.13012526657263,1.8471419086199603,2023-06-03 13:00,2023-06-03 14:00,0.756,0.755,0.092,19.381,0.847,0.9512860080766115
3686,45.56498054463313,45.58149689718358,44.43501945536687,44.41850310281642,248.21450060345714,1.8402872623119038,2023-06-03 14:00,2023-06-03 15:00,0.689,0.673,0.089,19.219,0.762,0.9612913828859612
3687,54.61333434590715,54.636119499208355,35.38666565409285,35.363880500791645,261.9625889963658,1.8334223105630372,2023-06-03 15:00,2023-06-03 16:00,0.59,0.554,0.085,18.839,0.639,0.9566710003188076
3688,63.96449663246734,63.99755091937632,26.035503367532662,26.002449080623677,273.89156190222303,1.8265470692931558,2023-06-03 16:00,2023-06-03 17:00,0.462,0.41,0.08,18.181,0.49,0.9340939724599299
